Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/25/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,JPMorgan Chase,NY,10550,Phone,11/27/2015,Closed with explanation,Yes,,1671566
11/25/2015,Mortgage,Home equity loan or line of credit,Settlement process and costs,,,,Ditech Financial LLC,NC,285XX,Web,11/25/2015,Closed with explanation,Yes,,1672960
11/25/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,FL,33415,Web,11/25/2015,Closed with explanation,Yes,,1672917
11/25/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Atlantic Pacific Mortgage Corporation,VA,242XX,Web,11/25/2015,In progress,Yes,,1671825
11/25/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"FNIS (Fidelity National Information Services, Inc.)",CA,90007,Web,11/25/2015,In progress,Yes,,1671693
11/25/2015,Credit reporting,,Incorrect information on credit report,Public record,,,First Advantage Corporation,NJ,089XX,Web,11/25/2015,Closed with explanation,Yes,,1672685
11/25/2015,Bank account or service,Savings account,Deposits and withdrawals,,,,Ally Financial Inc.,AZ,853XX,Web,11/25/2015,In progress,Yes,,1671753
11/25/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Goldman Sachs Bank USA,IL,604XX,Web,11/25/2015,In progress,Yes,,1671834
11/25/2015,Debt collection,Medical,Improper contact or sharing of info,Contacted me after I asked not to,,,Louisiana Recovery Services Inc.,TX,770XX,Web,11/25/2015,Closed with explanation,Yes,,1672024
11/25/2015,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,,,Ally Financial Inc.,GA,300XX,Web,11/25/2015,In progress,Yes,,1672046
11/25/2015,Money transfers,International money transfer,Fraud or scam,,,,Navy FCU,FL,336XX,Web,11/25/2015,In progress,Yes,,1671928
11/25/2015,Debt collection,,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,Company believes it acted appropriately as authorized by contract or law,"Solutions To Portfolios, LLC",TX,751XX,Web,11/25/2015,Closed with explanation,Yes,Yes,1672124
11/25/2015,Consumer loan,Vehicle loan,Shopping for a loan or lease,,,,Ally Financial Inc.,NC,271XX,Web,11/25/2015,In progress,Yes,,1673161
11/25/2015,Money transfers,Domestic (US) money transfer,Money was not available when promised,,,,MoneyGram,NC,283XX,Web,11/25/2015,In progress,Yes,,1672470
11/25/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Bayview Loan Servicing, LLC",GA,303XX,Web,11/25/2015,In progress,Yes,,1671281
11/25/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company chooses not to provide a public response,Santander Bank US,MA,2047,Referral,11/30/2015,Closed,Yes,,1672093
11/25/2015,Payday loan,,Can't stop charges to bank account,,,,Speedy Cash Holdings,TX,77081,Web,11/26/2015,Closed with explanation,Yes,Yes,1673063
11/24/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Ally Financial Inc.,MD,20886,Referral,11/25/2015,In progress,Yes,,1669437
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,SC,295XX,Web,11/24/2015,Closed with explanation,Yes,,1669380
